Ticari Isim,Etken Madde,Formulasyon
EFDAL IMPIANTO 500 SC (İMAL),500 g/l Fluazinam,SC (Akıcı Konsantre/Süspansiyon Konsantre)
NUTRA MAN (İMAL),200 g/l Fluopyram + 200 g/l Tebuconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
LENA FEKS (İMAL),10 g/l Forchlorfenuron,SL (Suda Çözünen Konsantre)
FER PRO (İMAL),720 g/l Ethephon + 45 g/l Cyclanilide,SC (Akıcı Konsantre/Süspansiyon Konsantre)
KANOLİT 50 WG (İTHAL),%50 Boscalid,WG (Suda Dağılabilen Granül)
CONDITOR 500 SC (İMAL),500 g/l Fluazinam,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SETTORE (İMAL),300 g/l Ametoctradin + 225 g/l Dimethomorph,SC (Akıcı Konsantre/Süspansiyon Konsantre)
VEFMES 200 EC (İMAL),200 g/l Esfenvalerate,EC (Emülsiye Olabilen Konsantre)
KORVELA SC (İMAL),156 g/l Acequinocyl,SC (Akıcı Konsantre/Süspansiyon Konsantre)
STALKER (İMAL),"312,5 g/l S-Metolachlor + 187,5 g/l Terbuthylazine",SC (Akıcı Konsantre/Süspansiyon Konsantre)
ROY OPTİ (İMAL),500 g/l Fluazinam,SC (Akıcı Konsantre/Süspansiyon Konsantre)
"STARTER 116,2 EC (İTHAL)","116,2 g/l Clethodim",EC (Emülsiye Olabilen Konsantre)
OLMEC (İTHAL),"116,2 g/l Clethodim",EC (Emülsiye Olabilen Konsantre)
ALMANAK 35 WG (İMAL),%35 Chlorantraniliprole,WG (Suda Dağılabilen Granül)
LARRY 800 EC (İMAL),800 g/l Mineral Yağ,EC (Emülsiye Olabilen Konsantre)
CROPTRANİL 200 SC (İMAL),200 g/l Chlorantraniliprole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
DHERMAN 18 EW (İMAL),18 g/l Abamectin,"EW (Emülsiyon, Suda Yağ)"
ARPEJ 20 SC (İMAL),20 g/l Abamectin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CROPTRANİL 35 WG (İMAL),%35 Chlorantraniliprole,WG (Suda Dağılabilen Granül)
NİNEFOX (İMAL),"480 g/l Bentazone + 22,4 g/l Imazamox",SL (Suda Çözünen Konsantre)
AVAZ (İMAL),"18,8 g/l 6-Benzyladenine + 18,5 g/l Gibberellin A4/A7",SL (Suda Çözünen Konsantre)
AGROZATE 900 EC (İMAL),900 g/l Fosthiazate,EC (Emülsiye Olabilen Konsantre)
GEMELOS 15 EC (İMAL),150 g/l Fosthiazate,EC (Emülsiye Olabilen Konsantre)
MAKAZE 5 SG (İMAL),%5 Emamectin benzoate,SG (Suda Çözünen Granül)
AGROFARM AMPERRA (İMAL),180 g/l Abamectin,DC (Disperse Olabilen Konsantre)
ONZYD (İMAL),%65 Dodine,WG (Suda Dağılabilen Granül)
BACKPAY (İMAL),250 g/l Bupirimate,EC (Emülsiye Olabilen Konsantre)
PLAIN 200 SC (İTHAL),200 g/l Chlorantraniliprole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SCOTCH (İMAL),100 g/l Alpha-cypermethrin,EC (Emülsiye Olabilen Konsantre)
FEIRA 500 SC (İMAL),350 g/l Metamitron + 150 g/l Ethofumesate,SC (Akıcı Konsantre/Süspansiyon Konsantre)
NIMFER 50 CS (İMAL),50 g/l Lambda-cyhalothrin,CS (Kapsül Süspansiyon)
ROYŞAD (İMAL),125 g/l Azoxystrobin + 125 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
LUFGARD (İMAL),50 g/l Lufenuron,EC (Emülsiye Olabilen Konsantre)
REBORAN SC (İMAL),300 g/l Fluxapyroxad,SC (Akıcı Konsantre/Süspansiyon Konsantre)
"MİNECTO 163,5 SC (İTHAL)","135 g/l Cyantraniliprole+ 28,5 g/l Abamectin",SC (Akıcı Konsantre/Süspansiyon Konsantre)
EFDAL RUBYKİM (İMAL),"26,5 g/l Pyraflufen ethyl",EC (Emülsiye Olabilen Konsantre)
OTORITER OD 80 (İMAL),50 g/l Foramsulfuron + 30 g/l Thiencarbazone-methyl,OD (Yağda Dağılabilen)
TARACLİA (İTHAL),%20 Flubendiamide,WG (Suda Dağılabilen Granül)
NUBAR 250 SC (İMAL),250 g/l Flutriafol,SC (Akıcı Konsantre/Süspansiyon Konsantre)
HAYWARD 10 EC (İMAL),10 g/l Forchlorfenuron,EC (Emülsiye Olabilen Konsantre)
CROPİNN (İTHAL),250 g/l Cypermethrin,EC (Emülsiye Olabilen Konsantre)
TAMİPOTA (İTHAL),690 g/l Metam Potassium,SL (Suda Çözünen Konsantre)
ASSOMMER (İMAL),700 g/l Mineral Yağ,"EW (Emülsiyon, Suda Yağ)"
FUERTE (İMAL),150 g/l Fluazifop-p-butyl,EC (Emülsiye Olabilen Konsantre)
SAFA ENSURE (İMAL),100 g/l Isopyrazam + 40 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
GRANULAM (İTHAL),%24 Lambda-cyhalothrin,WG (Suda Dağılabilen Granül)
PLOCAFIR (İMAL),700 g/l Mineral Yağ,"EW (Emülsiyon, Suda Yağ)"
BEASTONE (İMAL),175 g/l Prothioconazole + 88 g/l Trifloxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SPİCUT (İTHAL),100 g/l Spirotetramat,SC (Akıcı Konsantre/Süspansiyon Konsantre)
FİLEFCON (İMAL),500 g/l Fluazinam,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CHIOZA 80 WG (İTHAL),%80 Fosetyl-Al,WG (Suda Dağılabilen Granül)
QUENZA WG (İMAL),%50 Flonicamid,WG (Suda Dağılabilen Granül)
LOGGY (İMAL),375 g/l Pyrimethanil +125 g/l Fluopyram,SC (Akıcı Konsantre/Süspansiyon Konsantre)
JAGUAR MİCRO WP (İMAL),%25 Tebuconazole,WP (Islanabilir Toz)
COMİTY (İTHAL),500 g/l Metam Sodium,SL (Suda Çözünen Konsantre)
OCUPADO (İMAL),800 g/l Mineral Yağ,EC (Emülsiye Olabilen Konsantre)
ALGUNAS (İTHAL),50 g/l Fenpyroximate,SC (Akıcı Konsantre/Süspansiyon Konsantre)
VAVRIN 050 CS (İTHAL),50 g/l Lambda-cyhalothrin,CS (Kapsül Süspansiyon)
CURLİNE (İMAL),200 g/l Cyflumetofen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
EFDAL KATTA SC (İMAL),200 g/l Cyflumetofen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
PAYDOS (İMAL),75 g/l Fluxapyroxad + 50 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CONATUS (İMAL),%80 Folpet,WG (Suda Dağılabilen Granül)
AGROFARM KLİNG 063 SC (İMAL),45 g/l Chlorantraniliprole + 18 g/l Abamectin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TARTAN 48 EC (İMAL),480 g/l Clomazone,EC (Emülsiye Olabilen Konsantre)
CHIRAG 20 SC (İTHAL),200 g/l Chlorantraniliprole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
FRSBOZOK (İMAL),40 g/l Nicosulfuron,OD (Yağda Dağılabilen)
FULLBACK (İMAL),296 g/l Azoxystrobin + 218 g/l Flutriafol,SC (Akıcı Konsantre/Süspansiyon Konsantre)
INNOGARD (İMAL),296 g/l Azoxystrobin + 218 g/l Flutriafol,SC (Akıcı Konsantre/Süspansiyon Konsantre)
THUMPER (İTHAL),%50 Metalik bakıra eşdeğer bakır oksiklorid,WP (Islanabilir Toz)
ARMICIDE (İTHAL),%5 Emamectin benzoate,SG (Suda Çözünen Granül)
PARIKH DISPERSE (İTHAL),%20 Metalik bakıra eşdeğer bordo bulamacı,"WG ""Sadece bakırlı preparatlar"" (Suda Dağılabilen Granül)"
EFDAL FOSALİN 80 WG (İMAL),%80 Fosetyl-Al,WG (Suda Dağılabilen Granül)
RİSPETTO EC 425 (İMAL),224 g/l Spiroxamine + 148 g/l Tebuconazole + 53 g/l Prothioconazole,EC (Emülsiye Olabilen Konsantre)
SYMETRIN (İMAL),224 g/l Spiroxamine + 148 g/l Tebuconazole + 53 g/l Prothioconazole,EC (Emülsiye Olabilen Konsantre)
KEANU (İTHAL),%80 Kükürt,WG (Suda Dağılabilen Granül)
BELMINA (İMAL),"75 g/l Fluroxypyr- meptyl + 30 g/l Pinoxaden + 1,75 g/l Florasulam + 7,5 g/l Cloquintocet-mexyl (safener)",EC (Emülsiye Olabilen Konsantre)
BİXİBİTE 063 SC (İMAL),45 g/l Chlorantraniliprole + 18 g/l Abamectin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
METOT 70 WP (İTHAL),%70 Metribuzin,WP (Islanabilir Toz)
SHENZI 200 SC (İTHAL),200 g/l Chlorantraniliprole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
EFDAL TÖTEN EC (İMAL),480 g/l Clomazone,EC (Emülsiye Olabilen Konsantre)
GALYO 75 WG (İMAL),%75 Halosulfuron-methyl,WG (Suda Dağılabilen Granül)
LORYNTHOR (İMAL),50 g/l Lambda-cyhalothrin,CS (Kapsül Süspansiyon)
RASSENE (İMAL),25 g/l Sodium s-Naphthaline Acetate + 3 g/l Sodium Para Nitrophenolate + 2 g/l Sodium Ortho Nitrophenolate + 1 g/l Sodium Penta Nitroguaiacolate,SL (Suda Çözünen Konsantre)
LABİDAL (İMAL),100 g/l Lambda-cyhalothrin + 100 g/l Lufenuron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
FELUTEN 222 SC (İMAL),222 g/l Flubendiamide,SC (Akıcı Konsantre/Süspansiyon Konsantre)
AGROFARM VICTOR (İMAL),400 g/l Fluopyram,SC (Akıcı Konsantre/Süspansiyon Konsantre)
LİANGO 20 SC (İMAL),200 g/l Cyflumetofen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ELİMİNATE 35 WG (İMAL),%35 Chlorantraniliprole,WG (Suda Dağılabilen Granül)
LOCSUFON (İTHAL),%85 Pyroxasulfone,WG (Suda Dağılabilen Granül)
DRONNE (İMAL),375 g/l Fluazinam + 150 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SCENICGOLD FS 350 (İTHAL),200 g/l Fluopicolide + 150 g/l Fluoxastrobin,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
KİNG'S BLESSİNG (İTHAL),%35 Chlorantraniliprole,WG (Suda Dağılabilen Granül)
TRANSIT (İMAL),500 g/l 8- Hydroxyquinoline sulphate,SL (Suda Çözünen Konsantre)
LORD 480 EC (İMAL),480 g/l Clomazone,EC (Emülsiye Olabilen Konsantre)
BEASİMUS (İMAL),75 g/l Mesotrione + 30 g/l Nicosulfuron,OD (Yağda Dağılabilen)
PERLAN 2X (İTHAL),"37 g/l Gibberellin A4/A7 + 37,6 g/l 6- Benzyladenine",SL (Suda Çözünen Konsantre)
AGROFARM KAYI (İMAL),300 g/l Aclonifen + 20 g/l İmazamox,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ALTIUM 440 EW (İMAL),440 g/l Malathion,"EW (Emülsiyon, Suda Yağ)"
EMBAN 50 WP (İTHAL),%50 Captan,WP (Islanabilir Toz)
SPILOS (İMAL),375 g/l Fluazinam + 150 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ROYMİX 525 SC (İMAL),375 g/l Fluazinam + 150 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ALGAFER (İMAL),44 g/l Tembotrione + 22 g/l Isoxadifen-ethyl (safener),OD (Yağda Dağılabilen)
EFDAL POINT 500 SC (İMAL),350 g/l Metamitron + 150 g/l Ethofumesate,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SİND WG (İTHAL),"%25,2 Boscalid + %12,8 Pyraclostrobin",WG (Suda Dağılabilen Granül)
NATOLİN WG (İMAL),%55 Metiram + %5 Pyraclostrobin,WG (Suda Dağılabilen Granül)
SAFA VİVA (İMAL),% 68 Thifensulfuron-methyl + % 7 Metsulfuron- methyl,WG (Suda Dağılabilen Granül)
CUMANS (İMAL),375 g/l Fluazinam + 150 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
FENETRİN 30 EC (İTHAL),300 g/l Bromuconazole,EC (Emülsiye Olabilen Konsantre)
FELUTEN 20 WG (İMAL),%20 Flubendiamide,WG (Suda Dağılabilen Granül)
SANDERO (İMAL),"65,82 g/l Metalik bakıra eşdeğer bakır sülfat",SC (Akıcı Konsantre/Süspansiyon Konsantre)
SAFA PERİFEL (İMAL),400 g/l Fluopyram,SC (Akıcı Konsantre/Süspansiyon Konsantre)
KİNG'S TİARA (İTHAL),%75 Tribenuron-methyl,WG (Suda Dağılabilen Granül)
EQUUS (İMAL),500 g/l Metrafenone,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ATEXA (İMAL),310 g/l Pyrimethanil + 95 g/l Trifloxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
VULPECU 500 SC (İMAL),500 g/l Metrafenone,SC (Akıcı Konsantre/Süspansiyon Konsantre)
OVERDO SC (İMAL),500 g/l Fluometuron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CORPORAL 80 EC (İMAL),800 g/l Prosulfocarb,EC (Emülsiye Olabilen Konsantre)
HYPNOSE 05 WG (İMAL),%5 Emamectin benzoate,WG (Suda Dağılabilen Granül)
BARCİNO (İMAL),200 g/l Cyflumetofen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TAVIRA 200 SC (İMAL),200 g/l Chlorantraniliprole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SAFA LUCENS (İMAL),%40 Metalik bakıra eşdeğer tribazik bakır sülfat,WG (Suda Dağılabilen Granül)
FRESO (İMAL),500 g/l Metrafenone,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MARGOT 400 SC (İMAL),200 g/l Fluopyram + 200 g/l Tebuconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ORİZA (İMAL),250 g/l Piperonly Butoxide + 25 g/l Deltamethrin,EC (Emülsiye Olabilen Konsantre)
EFDAL DUMAN 80 WG (İMAL),%80 Captan,WG (Suda Dağılabilen Granül)
KİNG'S SONATA (İTHAL),"%30 Cymoxanil + %22,5 Famoxadone",WG (Suda Dağılabilen Granül)
RONIRA WG (İMAL),"%66,7 Fosetyl-Al + %4,44 Fluopicolide",WG (Suda Dağılabilen Granül)
SORASOL (İMAL),"228,6 g/l Spiromesifen + 11,4 g/l Abamectin",SC (Akıcı Konsantre/Süspansiyon Konsantre)
CENDER 65 (İTHAL),650 g/l Malathion,EC (Emülsiye Olabilen Konsantre)
EMFODOR (İTHAL),240 g/l Spirodiclofen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TONYUKUK (İMAL),480 g/l Metamitron + 66 g/l Ethofumesate + 42 g/l Phenmedipham,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CHOPPER 25 SG (İMAL),%25 Rimsulfuron,SG (Suda Çözünen Granül)
ANDROMEDA OD (İMAL),36 g/l Abamectin,OD (Yağda Dağılabilen)
GALEBE SC (İMAL),136 g/l Metalik bakıra eşdeğer bakır hidroksit + 136 g/l Metalik bakıra eşdeğer bakır oksiklorid,SC (Akıcı Konsantre/Süspansiyon Konsantre)
EFDAL TOTEMO (İMAL),200 g/l Proquinazid,EC (Emülsiye Olabilen Konsantre)
MAZELİX (İTHAL),400 g/l Pethoxamid + 24 g/l Clomazone,EC (Emülsiye Olabilen Konsantre)
SHUMO (İTHAL),40 g/l Imazamox,SL (Suda Çözünen Konsantre)
SAFA SAPHIRE (İMAL),"% 56,2 Dicamba sodyum tuzu (%51,04 Dicamba asite eşdeğer) + % 6,25 Nicosulfuron + % 3,13 Rimsulfuron + % 3,13 Isoxadifen-ethyl (safener)",SG (Suda Çözünen Granül)
UFENS 66 OD (İMAL),44 g/l Tembotrione + 22 g/l Isoxadifen-ethyl (safener),OD (Yağda Dağılabilen)
SENTAUR (İMAL),200 g/l Tebuconazole + 120 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MİTİO (İMAL),"360 g/l 2,4-D Asit (543 g/l 2,4-D EHE eşdeğer) + 90 g/l Fluroxypyr (129 g/l Fluroxypyr meptyl'e eşdeğer)",EC (Emülsiye Olabilen Konsantre)
SAFA BOUTIQUE (İMAL),%85 Pyroxasulfone,WG (Suda Dağılabilen Granül)
EFDAL SMYNA 200 SL (İMAL),200 g/l Glufosinate-ammonium tuzu,SL (Suda Çözünen Konsantre)
AGATA 465 SC (İMAL),225 g/l Isoxaflutole + 90 g/l Thiencarbazone-methyl + 150 g/l Cyprosulfamide (safener),SC (Akıcı Konsantre/Süspansiyon Konsantre)
SAFA DEFIANCE 35 DS (İMAL),%35 Metalaxyl,DS (Kuru Tohum İlacı)
EFDAL PANTRİN EC (İMAL),800 g/l Prosulfocarb + 80 g/l Metribuzin,EC (Emülsiye Olabilen Konsantre)
SONBU (İMAL),"%3,3 1-Methylcyclopropene",VP (Gaz Neşreden İlaç)
SAFA SPARTAN 500 WG (İMAL),%50 Sulfoxaflor,WG (Suda Dağılabilen Granül)
KİNG' GROZA (İTHAL),100 g/l Pyriproxyfen,EC (Emülsiye Olabilen Konsantre)
ANDROMEDA SC (İMAL),84 g/l Abamectin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CORİSCO 063 SC (İMAL),45 g/l Chlorantraniliprole + 18 g/l Abamectin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CLEAR OUT SL (İMAL),240 g/l Glyphosate Isopropylamin Tuzu,SL (Suda Çözünen Konsantre)
DADALUS 550 SC (İMAL),500 g/l Diflufenican + 50 g/l Florasulam,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TUXEDO (İMAL),45 g/l Chlorantraniliprole + 18 g/l Abamectin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CONSPİCUO (İTHAL),"%26,7 Boscalid + %6,7 Pyraclostrobin",WG (Suda Dağılabilen Granül)
TEENCROP (İMAL),%25 Tebuconazole,WP (Islanabilir Toz)
ROSİER 450 EC (İMAL),450 g/l Prochloraz,EC (Emülsiye Olabilen Konsantre)
ROYCUB SC (İMAL),375 g/l Pyrimethanil +125 g/l Fluopyram,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ENTUSH (İMAL),375 g/l Pyrimethanil +125 g/l Fluopyram,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ARTUREX (İMAL),200 g/l Tebuconazole + 120 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CROPEXA (İMAL),%70 Dithianon,WG (Suda Dağılabilen Granül)
NETLOGRIN (İMAL),18 g/l Abamectin,EC (Emülsiye Olabilen Konsantre)
VERRUNT (İMAL),400 g/l Fluopyram,SC (Akıcı Konsantre/Süspansiyon Konsantre)
DEROSAN (İMAL),%80 Fosetyl-Al,WG (Suda Dağılabilen Granül)
MORTELLO 400 SC (İMAL),400 g/l Fluopyram,SC (Akıcı Konsantre/Süspansiyon Konsantre)
VELOCOP (İMAL),"361,1 g/l Metalik bakıra eşdeğer bakır hidroksit",SC (Akıcı Konsantre/Süspansiyon Konsantre)
MİMOSA (İMAL),%20 Pyridaben,WP (Islanabilir Toz)
EFDAL CAMPO 376 SC (İMAL),326 g/l Terbuthylazine + 50 g/l Mesotrione,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SONAR 170 FS (İMAL),150 g/l Prothioconazole + 20 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
STARLINK 170 FS (İMAL),150 g/l Prothioconazole + 20 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
SHEBİLL 60 FS (İTHAL),60 g/l Tebuconazole,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
JOCKEY 5.7 SG (İMAL),% 5.7 Emamectin benzoate,SG (Suda Çözünen Granül)
ORTOCIL (İTHAL),100 g/l 2-Phenylphenol,EC (Emülsiye Olabilen Konsantre)
TİTLEKEY (İTHAL),100 g/l Penconazole,EC (Emülsiye Olabilen Konsantre)
CHIMET 18 EC (İTHAL),18 g/l Abamectin,EC (Emülsiye Olabilen Konsantre)
CHEEKYTAILS 50 CS (İMAL),50 g/l Lambda-cyhalothrin,CS (Kapsül Süspansiyon)
PRULANT 156 SC (İMAL),156 g/l Acequinocyl,SC (Akıcı Konsantre/Süspansiyon Konsantre)
VENACO 1.8 EC (İMAL),18 g/l Abamectin,EC (Emülsiye Olabilen Konsantre)
BURTZOL (İTHAL),"18,8 g/l 6-Benzyladenine + 18,5 g/l Gibberellin A4/A7",SL (Suda Çözünen Konsantre)
SETH 24 EC (İMAL),240 g/l Carfentrazone-ethyl,EC (Emülsiye Olabilen Konsantre)
FACILE (İMAL),500 g/l İndaziflam,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BEASGRIA (İMAL),44 g/l Tembotrione + 22 g/l Isoxadifen-ethyl (safener),OD (Yağda Dağılabilen)
TİNO (İTHAL),400 g/l Propamocarb-hydrochloride + 50 g/l Cymoxanil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
EFDAL BENE 400 SC (İMAL),400 g/l Propyzamide,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MANECRON (İMAL),150 g/l Pyraclostrobin+ 75 g/l Fluxapyroxad,EC (Emülsiye Olabilen Konsantre)
SECTOJEN 35 WG (İMAL),%35 Chlorantraniliprole,WG (Suda Dağılabilen Granül)
ROYAYRİS (İMAL),500 g/l Fluometuron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
POLYWEED (İTHAL),%85 Pyroxasulfone,WG (Suda Dağılabilen Granül)
MASTERGRAN (İTHAL),%70 Dithianon,WG (Suda Dağılabilen Granül)
PAYAKAN (İMAL),250 g/l Dithianon + 250 g/l Pyrimethanil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
EXITUS (İMAL),100 g/l Cycloxydim,EC (Emülsiye Olabilen Konsantre)
STÜRMER 250 EC (İMAL),250 g/l Difenoconazole,EC (Emülsiye Olabilen Konsantre)
TİCKETS (İMAL),250 g/l Bupirimate,EC (Emülsiye Olabilen Konsantre)
DECLERE 156 SC (İMAL),156 g/l Acequinocyl,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TEZCONAL 20 SC (İMAL),20 g/l Abamectin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BERKUT WG (İMAL),"%25,2 Boscalid + %12,8 Pyraclostrobin",WG (Suda Dağılabilen Granül)
BOFOR 500 SC (İMAL),500 g/l Fluazinam,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ROBIGO 20 SC (İMAL),20 g/l Abamectin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SIMPELL (İTHAL),480 g/l Spinosad,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ROYFOX 20 SC (İMAL),200 g/l Cyflumetofen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
FRACTAL SC (İMAL),375 g/l Fluazinam + 150 g/l Azoxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ROYBEST 63 SC (İMAL),45 g/l Chlorantraniliprole + 18 g/l Abamectin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
PAPYRUS (İMAL),400 g/l Propamocarb-hydrochloride + 50 g/l Cymoxanil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
TURNA (İMAL),100 g/l Penconazole,EC (Emülsiye Olabilen Konsantre)
ANTIOPE (İTHAL),%80 Fosetyl-Al,WG (Suda Dağılabilen Granül)
ROYGAM (İMAL),250 g/l Mandipropamid,SC (Akıcı Konsantre/Süspansiyon Konsantre)
PROTEBUZ EW (İTHAL),267 g/l Prochloraz + 133 g/l Tebuconazole,"EW (Emülsiyon, Suda Yağ)"
AGROGURU SC (İMAL),136 g/l Metalik bakıra eşdeğer bakır hidroksit + 136 g/l Metalik bakıra eşdeğer bakır oksiklorid,SC (Sadece bakırlı preparatlar) ( (Akıcı Konsantre/Süspansiyon Konsantre))
REVANCHA (İMAL),%50 Formetanate hydrochloride,SP (Suda Çözünen Toz)
FLOWEND 50 WG (İTHAL),%50 Flonicamid,WG (Suda Dağılabilen Granül)
MARİTUS (İMAL),"%66,7 Fosetyl-Al + %4,44 Fluopicolide",WG (Suda Dağılabilen Granül)
ROYTAİ 150 ZEC (İMAL),100 g/l Chlorantraniliprole + 50 g/l Lambda-cyhalothrin,ZC (CS ve SC Formülasyonlarının Karışımı)
KADNEZAR (İMAL),250 g/l Cypermethrin,EC (Emülsiye Olabilen Konsantre)
PATRİCK 700 SC (İMAL),700 g/l Metamitron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SCHONIL SEED (İTHAL),25 g/l Fludioxonil + 10 g/l Metalaxyl-m,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
ACOUSTICA 035 FS (İMAL),25 g/l Fludioxonil + 10 g/l Metalaxyl-m,FS (Tohum İlaçlaması İçin Akıcı Konsantre)
ACRATOS (İTHAL),300 g/l Pyrimethanil,SC (Akıcı Konsantre/Süspansiyon Konsantre)
ALBİSON (İMAL),75 g/l Fluxapyroxad + 50 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
MONOCEROS 405 SC (İMAL),310 g/l Pyrimethanil + 95 g/l Trifloxystrobin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BARN (İTHAL),%56 Aluminium phosphide,TB (Tablet)
LARVOLİ 25 WP (İMAL),%25 Malathion,WP (Islanabilir Toz)
MIXPARTNER 500 SC (İMAL),350 g/l Metamitron + 150 g/l Ethofumesate,SC (Akıcı Konsantre/Süspansiyon Konsantre)
EFDAL TAKANE 063 SC (İMAL),45 g/l Chlorantraniliprole + 18 g/l Abamectin,SC (Akıcı Konsantre/Süspansiyon Konsantre)
DOGAMITE 200 SC (İMAL),200 g/l Cyflumetofen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
BATANA 200 SC (İMAL),200 g/l Cyflumetofen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
AUXBORD (İMAL),124 g/l Metalik bakıra eşdeğer bordo bulamacı,SC (Akıcı Konsantre/Süspansiyon Konsantre)
PASKILL (İTHAL),500 g/l Imazalil,EC (Emülsiye Olabilen Konsantre)
METAFER 20 SC (İMAL),200 g/l Cyflumetofen,SC (Akıcı Konsantre/Süspansiyon Konsantre)
COBRABİTE (İMAL),%20 Pyridaben,WP (Islanabilir Toz)
COMMANDATE (İMAL),125 g/l Azoxystrobin + 125 g/l Difenoconazole,SC (Akıcı Konsantre/Süspansiyon Konsantre)
KENDRAS (İMAL),"452,42 g/l 2,4-D 2-Ethylhexyl ester + 6,25 g/l Florasulam",SE (Suspo-Emülsiyon)
BASAT (İMAL),330 g/l Dicamba + 75 g/l Nicosulfuron,SC (Akıcı Konsantre/Süspansiyon Konsantre)
SAFA MOTTO (İMAL),"360 g/l 2,4-D Asit (543 g/l 2,4-D EHE eşdeğer) + 90 g/l Fluroxypyr (129 g/l Fluroxypyr meptyl'e eşdeğer)",EC (Emülsiye Olabilen Konsantre)
DADASH (İMAL),250 g/l lambda cyhalothrin,OD (Yağda Dağılabilen)
CIDETRAK TA MESO (İTHAL),"540 mg (E,Z,Z,) -3,8,11- tetradecatrien-1-yl acetate + 60mg (E,Z) - 3,8 - tetradecadien-1-yl acetate",--- (-)
SİRMEL 400 SC (İMAL),400 g/l Fluopyram,SC (Akıcı Konsantre/Süspansiyon Konsantre)
CHIMDA 5 EC (İTHAL),50 g/l Lambda-cyhalothrin,EC (Emülsiye Olabilen Konsantre)
RİFTOİL (İMAL),800 g/l Mineral Yağ,EC (Emülsiye Olabilen Konsantre)
